,gene_name,ID,event
566,AMELY,EE87811,GAIN
567,AMER1,EE87811,GAIN
568,AMER2,EE87811,GAIN
569,AMER3,EE87811,GAIN
570,AMFR,EE87811,GAIN
571,AMH,EE87811,HETD
572,AMHR2,EE87811,GAIN
573,AMIGO1,EE87811,GAIN
574,AMIGO2,EE87811,GAIN
575,AMMECR1L,EE87811,GAIN
576,AMN,EE87811,GAIN
577,AMOT,EE87811,GAIN
578,AMOTL1,EE87811,GAIN
579,AMOTL2,EE87811,GAIN
580,AMPD1,EE87811,GAIN
581,AMPD2,EE87811,GAIN
582,AMT,EE87811,HETD
583,AMTN,EE87811,GAIN
584,AMY1A,EE87811,GAIN
585,AMY1B,EE87811,GAIN
586,AMY1C,EE87811,GAIN
587,AMY2A,EE87811,GAIN
588,AMY2B,EE87811,GAIN
589,AMZ1,EE87811,HETD
590,ANAPC1,EE87811,GAIN
591,ANAPC10,EE87811,GAIN
592,ANAPC11,EE87811,GAIN
593,ANAPC13,EE87811,GAIN
594,ANAPC15,EE87811,GAIN
595,ANAPC16,EE87811,GAIN
596,ANAPC2,EE87811,GAIN
597,ANAPC4,EE87811,GAIN
598,ANAPC5,EE87811,GAIN
599,ANAPC7,EE87811,GAIN
600,ANG,EE87811,GAIN
601,ANGEL1,EE87811,GAIN
602,ANGEL2,EE87811,HETD
603,ANGPT1,EE87811,GAIN
604,ANGPT2,EE87811,GAIN
605,ANGPTL1,EE87811,HETD
606,ANGPTL2,EE87811,GAIN
607,ANGPTL3,EE87811,HETD
608,ANGPTL4,EE87811,GAIN
609,ANGPTL6,EE87811,GAIN
610,ANGPTL7,EE87811,GAIN
611,ANGPTL8,EE87811,GAIN
612,ANK1,EE87811,GAIN
613,ANK2,EE87811,GAIN
614,ANKAR,EE87811,HETD
615,ANKDD1A,EE87811,GAIN
616,ANKEF1,EE87811,GAIN
617,ANKFN1,EE87811,GAIN
618,ANKFY1,EE87811,GAIN
619,ANKH,EE87811,GAIN
620,ANKHD1,EE87811,GAIN
621,ANKHD1-EIF4EBP3,EE87811,GAIN
622,ANKIB1,EE87811,HETD
623,ANKK1,EE87811,GAIN
624,ANKLE1,EE87811,GAIN
625,ANKLE2,EE87811,GAIN
626,ANKMY1,EE87811,HETD
627,ANKMY2,EE87811,GAIN
628,ANKRD1,EE87811,GAIN
629,ANKRD10,EE87811,GAIN
630,ANKRD11,EE87811,HETD
631,ANKRD12,EE87811,GAIN
632,ANKRD13A,EE87811,GAIN
633,ANKRD13B,EE87811,GAIN
634,ANKRD13C,EE87811,GAIN
635,ANKRD16,EE87811,GAIN
636,ANKRD17,EE87811,GAIN
637,ANKRD18A,EE87811,GAIN
638,ANKRD18B,EE87811,GAIN
639,ANKRD2,EE87811,GAIN
640,ANKRD20A1,EE87811,GAIN
641,ANKRD22,EE87811,GAIN
642,ANKRD23,EE87811,GAIN
643,ANKRD24,EE87811,GAIN
644,ANKRD26,EE87811,GAIN
645,ANKRD27,EE87811,GAIN
646,ANKRD28,EE87811,GAIN
647,ANKRD29,EE87811,GAIN
648,ANKRD30A,EE87811,HETD
649,ANKRD30B,EE87811,GAIN
650,ANKRD30BL,EE87811,GAIN
651,ANKRD31,EE87811,GAIN
652,ANKRD33,EE87811,GAIN
653,ANKRD34A,EE87811,GAIN
654,ANKRD34B,EE87811,GAIN
655,ANKRD35,EE87811,GAIN
656,ANKRD36,EE87811,GAIN
657,ANKRD36B,EE87811,GAIN
