sample,region-set,Dip_area,Dip_depth
EE88011,panc_epithel_cluster1974_hg38,-1.51,1.21
EE88011,HPF_lung_fibroblast_cluster1737_hg38,0.1,-0.79
EE88011,melano_SOX_clusters1863_2205_hg38,0.77,-0.3
EE88011,HeLa_cluster1777_hg38,-0.11,0.57
EE88011,panc_adenoca_cluster1261_hg38,-0.85,1.58
EE88011,mammary_epithel_cluster2438_hg38,-2.03,-0.16
EE88011,hematopoietic_specific_liquorice_hg38,-1.69,0.38
EE88011,skeletal_muscle_cluster1518_hg38,-1.82,-0.14
EE88011,SAEC_hg38,-0.11,0.45
EE88090,prostate_cluster2483_hg38,1.22,0.18
EE88090,hepatocyte_all_hg38,-0.16,0.48
EE88090,colon_cluster507_hg38,-2.8,0.88
EE88090,A549_hg38,2.55,-0.08
EE88090,panc_epithel_cluster1974_hg38,-0.55,-0.19
EE88090,HPF_lung_fibroblast_cluster1737_hg38,-0.1,-0.5
EE88090,melano_SOX_clusters1863_2205_hg38,1.42,0.37
EE88090,HeLa_cluster1777_hg38,-1.32,-0.15
EE88090,panc_adenoca_cluster1261_hg38,0.62,0.41
EE88090,mammary_epithel_cluster2438_hg38,0.44,2.12
EE88090,hematopoietic_specific_liquorice_hg38,-0.11,0.63
EE88090,skeletal_muscle_cluster1518_hg38,-1.63,1.03
EE88090,SAEC_hg38,-0.01,-1.23
EE87965,prostate_cluster2483_hg38,0,-0.46
EE87965,hepatocyte_all_hg38,-1.64,-0.48
EE87965,colon_cluster507_hg38,0.81,-0.48
EE87965,A549_hg38,0.76,0.47
EE87965,panc_epithel_cluster1974_hg38,0.18,-0.32
EE87965,HPF_lung_fibroblast_cluster1737_hg38,-0.36,0.68
EE87965,melano_SOX_clusters1863_2205_hg38,0.43,-1.17
EE87965,HeLa_cluster1777_hg38,0.66,0.51
EE87965,panc_adenoca_cluster1261_hg38,0.15,-0.18
EE87965,mammary_epithel_cluster2438_hg38,0.93,-1.27
EE87965,hematopoietic_specific_liquorice_hg38,-0.91,0.1
EE87965,skeletal_muscle_cluster1518_hg38,0.27,0.49
EE87965,SAEC_hg38,-0.73,0.86
EE88081,prostate_cluster2483_hg38,0.44,1.05
EE88081,hepatocyte_all_hg38,-0.26,0.97
EE88081,colon_cluster507_hg38,2.34,1.17
EE88081,A549_hg38,-0.15,-0.55
EE88081,panc_epithel_cluster1974_hg38,-0.18,0.67
EE88081,HPF_lung_fibroblast_cluster1737_hg38,-1.54,0.18
EE88081,melano_SOX_clusters1863_2205_hg38,0.47,-1.04
EE88081,HeLa_cluster1777_hg38,-0.03,-0.21
EE88081,panc_adenoca_cluster1261_hg38,0.11,1.98
EE88081,mammary_epithel_cluster2438_hg38,-0.36,0.49
EE88081,hematopoietic_specific_liquorice_hg38,0.56,0.73
EE88081,skeletal_muscle_cluster1518_hg38,2.18,-0.23
EE88081,SAEC_hg38,-0.53,-1.48
EE88213,prostate_cluster2483_hg38,-1.81,-0.36
EE88213,hepatocyte_all_hg38,-1.92,2.27
EE88213,colon_cluster507_hg38,-2.04,1.03
EE88213,A549_hg38,-0.62,0.33
EE88213,panc_epithel_cluster1974_hg38,-2.03,-0.05
EE88213,HPF_lung_fibroblast_cluster1737_hg38,-0.21,0.74
EE88213,melano_SOX_clusters1863_2205_hg38,0.75,-0.25
EE88213,HeLa_cluster1777_hg38,-0.99,0.47
EE88213,panc_adenoca_cluster1261_hg38,-1.07,0.85
EE88213,mammary_epithel_cluster2438_hg38,0.68,0.49
EE88213,hematopoietic_specific_liquorice_hg38,2.08,-1.16
EE88213,skeletal_muscle_cluster1518_hg38,0.96,-0.6
EE88213,SAEC_hg38,-0.02,1.1
EE88079,prostate_cluster2483_hg38,-1.9,-0.59
EE88079,hepatocyte_all_hg38,-1.73,2.21
EE88079,colon_cluster507_hg38,0.89,-0.06
EE88079,A549_hg38,-0.88,0.88
EE88079,panc_epithel_cluster1974_hg38,0.32,-0.35
EE88079,HPF_lung_fibroblast_cluster1737_hg38,-0.05,-1.42
