length,EE87920,EE88290,EE88291,EE88292,EE88293,EE88294,EE88295,EE88296,EE88297,EE88298,EE88299,EE88301,EE88302,EE88303,EE88304,EE88305,EE88306,EE88307,EE88308,EE88309,EE88310,EE88311,EE88312,EE88313,EE88314,EE88315,EE88316,EE88317,EE88318,EE88319,EE88320,EE88321,EE88322,EE88323,EE88324
183,704242,420703,408576,417224,455577,285833,366796,379373,333903,303940,294353,421376,391272,472846,288011,278546,236530,280263,368834,254647,284025,304738,452196,331151,400252,363761,277883,271016,428554,359500,372897,443234,280604,326488,352856
184,678325,380770,377472,384771,418973,265867,339270,347930,305273,278743,269617,383600,360706,438378,261919,259387,221505,258172,341781,235745,256721,280759,416996,305272,377297,340365,255669,246004,394332,332870,344937,408396,251797,297462,325365
185,649047,350521,354307,360812,390171,250918,314372,324022,285155,260385,250428,352086,338939,409600,242806,245388,210874,241646,322188,222891,234585,261158,389571,286218,358682,323221,239144,224884,370199,312045,322695,379902,229285,274887,302328
186,613083,325073,333165,339153,366476,237651,292736,304326,265806,243680,231833,325778,320541,383276,223518,233163,200480,226794,305146,211191,215500,245925,365286,270012,343230,308740,225523,207547,347268,294957,304120,354959,210632,254004,284425
187,577998,300302,315087,319557,346205,222434,270554,284142,249065,227805,216091,300872,303818,357837,208662,221999,190459,210965,287229,199432,197902,232734,342339,252501,329872,298189,210448,192551,327037,278085,286676,331040,192834,233540,269505
188,542971,275852,295185,297060,323612,205515,249136,266110,229456,211222,200502,276182,284165,330940,190844,209976,179791,196792,270787,187180,181778,218557,320436,233467,312220,285763,197338,176034,306544,260309,266905,304482,175777,214373,253005
189,508019,250796,272618,272866,300869,186382,225122,245134,210615,194004,184687,250894,262438,301017,174147,196083,167159,180114,249583,173062,163388,203017,297544,214189,292972,270453,182802,160503,283642,242683,245571,277394,159437,194402,236203
190,480547,224379,249939,246555,274746,164980,201376,222744,189812,174861,167668,224976,239988,272087,156153,180482,153796,163318,226592,158843,145934,187393,269290,192771,270505,252010,166644,144034,259162,221728,223258,248850,142629,174937,216530
191,453732,200784,226785,221843,249338,146059,180421,201415,169327,157182,152124,200773,216585,244954,140331,164394,140381,145747,206625,143015,130996,170871,244781,173259,246673,231070,151369,128537,233714,202437,201118,221673,128257,155015,196654
192,430830,178657,206262,198959,226133,130170,161871,181145,151819,141021,137704,178917,193942,219865,125553,149102,126979,130175,185167,129886,116034,154514,221258,156004,225772,211604,136216,115054,210866,184662,181318,197537,114036,138796,177929
193,413001,159178,188078,178381,203712,117344,145768,164408,137136,126344,125128,161439,175519,200231,113423,134800,115469,117756,168954,117422,105092,140617,202493,140781,206650,193268,122671,102780,191744,168432,164768,177216,103173,125124,161570
194,393749,144811,172925,161651,185765,107655,134609,149175,124975,115463,114749,145360,159276,182605,103322,124476,107077,107027,154247,107322,94862,127557,185474,128729,190611,177924,111829,93040,175605,154122,151783,162005,94024,114798,148299
195,377617,132377,160432,148819,171164,100251,125125,138810,115936,106486,105448,134309,146799,169947,94834,115965,99822,98431,142520,99386,87020,117639,171865,119020,177885,165942,103076,85403,163437,143602,140774,149345,87270,106030,136654
196,359668,122986,151294,137928,159671,93681,116509,130630,108075,100183,98309,123827,137874,158918,87660,107406,94460,92764,132933,92891,80531,109758,160454,111471,167987,155758,96688,78705,153191,133700,131068,139877,80581,98722,127675
197,340586,115816,143488,129654,150388,89227,110315,123370,102244,94730,91901,115836,129570,148738,83041,103456,89071,86899,125506,88844,74972,103905,152306,104917,159834,149042,91113,74399,144952,126792,123212,131786,75915,93406,120810
198,321539,109314,135741,122182,141805,84601,102785,117435,95646,89296,86709,108389,122998,140413,77347,98048,84728,81344,119063,84522,69193,99594,144591,98745,153290,143694,86788,69299,137263,119977,117137,123566,71748,87763,115458
199,305353,102771,129311,114089,134946,79277,96508,111172,91024,84711,80794,101179,115852,131137,72183,92627,79708,76582,112374,79185,63911,94638,136374,93135,145428,137529,81279,65387,129771,112205,110757,115422,67889,82374,109685
200,287213,95466,122137,105337,126713,73461,89561,104353,84616,79293,74902,95065,108711,121758,67279,87389,74741,70989,104330,74308,59154,90116,127358,86537,137020,129803,76325,60996,122905,104704,103219,107411,64176,76439,103531
201,271101,87401,113988,96912,117484,67931,82283,97076,78837,73992,69494,87769,101438,111501,61960,81087,69271,65367,96130,69178,54581,84060,119427,80277,128654,122145,71078,55961,113079,97691,95733,98711,59741,70462,96826
202,255689,80237,104875,89093,108132,62159,75288,89542,71999,67501,64102,80012,92279,102032,56679,75028,63881,59126,88213,62602,49658,77137,109271,72206,118227,112651,64750,51756,104411,89543,87593,89562,55329,64924,89240
203,242732,73427,96553,80289,98779,56955,69370,81464,65675,62070,58518,72907,84205,93835,52039,68057,58625,54222,80683,57657,45034,70684,99763,66732,109071,103799,59113,47128,95882,82781,80307,81265,50581,59371,81607
204,230201,66813,88240,72856,90268,52791,63982,75531,60188,57766,53826,66616,76702,85449,47417,62368,54258,49857,73673,52833,41057,64813,92639,60305,99654,95666,54069,43335,88127,76328,73419,74638,46535,54421,74876
205,219293,61490,81883,67285,83268,49661,59202,69112,55094,53556,49696,61503,70604,78319,43707,57769,49615,45669,67557,48412,37479,59679,85639,55925,92496,88047,49914,39666,81874,69869,67896,69036,42786,50336,68993
206,209256,56650,76390,61500,77561,46531,55510,64530,51686,49942,45916,56789,65391,73841,40719,53318,46435,42466,63143,45134,34839,55855,79232,51659,86393,81848,46100,36916,76346,64885,63216,63511,40186,46878,64149
207,199411,52866,72420,57630,71929,44405,51893,60959,48071,46738,42898,53313,61259,69196,38017,50526,43822,39446,59096,42053,32189,52028,74372,48878,81338,78045,42868,34557,72014,60591,58898,59974,37440,43677,60088
